Datum	Baden-Württemberg	Bayern	Berlin	Brandenburg	Bremen	Hamburg	Hessen	Mecklenburg-Vorpommern	Niedersachsen	Nordrhein-Westfalen	Rheinland-Pfalz	Saarland	Sachsen	Sachsen-Anhalt	Schleswig-Holstein	Thüringen	Deutschland
2020-05-06	908	1.318	276	125	119	95	447	23	361	1.465	208	94	149	54	140	198	5.980
2020-05-07	779	1.246	265	116	126	85	420	23	350	1.498	176	87	162	50	142	180	5.705
2020-05-08	665	1.182	272	117	140	86	424	22	351	1.379	157	64	155	52	149	179	5.394
2020-05-09	706	1.223	280	131	155	89	415	22	430	1.448	159	55	170	60	174	186	5.703
2020-05-10	772	1.148	269	118	170	80	456	24	417	1.449	149	52	163	58	202	188	5.715
2020-05-11	760	1.151	248	118	165	85	444	26	429	1.496	171	50	182	57	171	216	5.769
2020-05-12	774	1.198	198	105	151	83	442	23	376	1.535	185	41	209	56	159	195	5.730

2020-05-13	744	1.194	170	72	160	74	407	23	305	1.515	160	35	164	39	128	184	5.374
2020-05-14	765	1.115	156	50	134	57	387	23	310	1.395	152	30	171	37	123	170	5.075
2020-05-15	725	1.022	154	55	130	47	350	18	296	1.303	148	29	165	36	95	154	4.727
2020-05-16	622	1.022	181	49	123	45	322	24	227	1.186	159	29	146	36	82	154	4.407
2020-05-17	551	997	184	46	122	45	332	22	262	1.219	131	33	148	32	66	137	4.327
2020-05-18	549	982	187	45	117	50	337	23	264	1.192	156	33	150	32	48	144	4.309
2020-05-19	483	921	191	42	133	45	336	20	249	1.115	170	34	139	31	43	123	4.075
2020-05-20	455	823	182	44	132	41	368	19	269	1.175	160	31	132	25	39	107	4.002
2020-05-21	389	798	173	41	120	36	388	23	257	1.112	147	27	132	26	34	127	3.830
2020-05-22	287	692	159	29	115	31	423	18	279	1.011	128	20	105	19	47	124	3.487
2020-05-23	374	674	172	26	98	23	371	15	336	921	110	18	107	18	63	115	3.441
2020-05-24	374	650	180	18	82	22	428	11	372	865	107	18	94	17	61	118	3.417
2020-05-25	378	712	177	17	85	24	361	10	364	850	96	21	101	15	60	124	3.395
2020-05-26	368	738	155	29	75	23	336	10	361	769	82	22	89	19	64	120	3.260
2020-05-27	311	631	128	33	65	23	314	9	330	712	67	21	69	12	53	109	2.887
2020-05-28	261	695	110	26	73	15	281	1	311	702	76	20	51	11	46	122	2.801
2020-05-29	310	707	136	31	81	12	298	1	344	703	92	20	66	9	29	128	2.967
2020-05-30	288	635	129	32	103	8	289	2	376	713	103	24	66	9	23	126	2.962
2020-05-31	236	621	155	33	100	9	269	3	373	728	96	21	68	11	27	122	2.872
2020-06-01	282	606	168	34	87	9	269	3	415	719	106	20	67	12	30	142	2.969
2020-06-02	263	543	169	29	123	16	252	2	392	640	97	21	58	8	36	126	2.775
2020-06-03	214	442	182	24	124	13	197	2	384	577	65	23	43	7	33	95	2.425
