Datum	BW	BY	BE	BB	HB	HH	HE	MV	NI	NW	RP	SL	SN	ST	SH	TH	Gesamt
2020-03-09	–	–	–	–	–	–	–	–	–	2	–	–	–	–	–	–	2
2020-03-10	–	–	–	–	–	–	–	–	–	2	–	–	–	–	–	–	2
2020-03-11	–	–	–	–	–	–	–	–	–	3	–	–	–	–	–	–	3
2020-03-12	1	1	–	–	–	–	–	–	–	3	–	–	–	–	–	–	5
2020-03-13	1	1	–	–	–	–	–	–	–	3	–	–	–	–	–	–	5
2020-03-14	2	1	–	–	–	–	–	–	–	5	–	–	–	–	–	–	8
2020-03-15	3	4	–	–	–	–	–	–	–	5	–	–	–	–	–	–	12
2020-03-16	3	5	–	–	–	–	–	–	–	5	–	–	–	–	–	–	13
2020-03-17	2	4	–	–	–	–	–	–	–	6	–	–	–	–	–	–	12
2020-03-18	2	4	–	–	–	–	–	–	–	6	–	–	–	–	–	–	12
2020-03-19	6	8	–	–	–	–	–	–	–	6	–	–	–	–	–	–	20
2020-03-20	10	12	–	–	–	–	1	–	–	6	1	–	–	–	1	–	31
2020-03-21	16	19	1	–	–	–	2	–	–	6	1	–	–	–	1	–	46
2020-03-22	21	21	1	0	0	0	2	0	1	6	2	0	0	0	1	0	55
2020-03-23	21	26	1	0	0	0	3	0	4	28	2	0	0	0	1	0	86
2020-03-24	30	30	1	0	0	0	4	0	6	33	5	1	1		2	1	114
2020-03-25	37	37	2	1	0	0	4	0	7	43	5	2	6	1	3	1	149
2020-03-26	56	47	4	1	1	0	6	0	8	53	6	2	7	1	3	3	198
2020-03-27	70	55	8	1	1	2	7	0	10	72	8	2	7	2	4	4	253
2020-03-28	101	77	8	1	2	2	9	0	12	80	11	2	9	2	4	5	325
2020-03-29	101	107	9	1	2	4	9	1	21	98	12	2	9	2	6	5	389
2020-03-30	119	127	11	2	2	5	13	1	26	101	18	7	9	2	7	5	455
2020-03-31	165	162	13	2	4	9	17	1	34	117	19	7	12	6	9	6	583
2020-04-01	197	225	16	4	5	14	21	3	42	134	23	8	17	7	10	6	732
2020-04-02	241	268	19	7	6	14	27	3	45	161	26	11	18	8	11	7	872
2020-04-03	285	307	20	9	6	16	33	4	65	178	26	12	21	11	15	9	1017
2020-04-04	316	349	22	12	6	16	42	5	85	200	29	14	24	11	17	10	1.158
2020-04-05	367	396	24	17	6	19	56	5	89	245	32	14	32	12	18	10	1.342
2020-04-06	387	437	26	19	8	19	61	6	92	255	32	14	34	12	20	12	1.434
2020-04-07	433	481	28	20	9	20	73	8	111	282	34	16	38	12	24	18	1.607
2020-04-08	464	564	32	22	10	23	84	11	121	348	45	23	50	16	28	20	1.861
2020-04-09	519	635	37	30	11	44	100	11	141	384	50	23	52	16	34	20	2.107
2020-04-10	570	703	42	37	13	53	111	11	161	446	51	36	59	18	38	24	2.373
2020-04-11	622	747	46	37	15	56	120	11	171	472	59	41	65	18	39	25	2.544
2020-04-12	649	786	50	38	15	56	123	11	189	495	64	43	67	21	41	25	2.673
2020-04-13	677	820	51	38	17	56	135	11	201	518	68	44	68	24	44	27	2.799
2020-04-14	711	872	56	40	20	59	147	11	211	545	70	52	70	25	49	31	2.969
2020-04-15	767	954	62	42	21	67	173	11	224	607	77	58	73	26	54	38	3.254
2020-04-16	802	1.049	74	54	21	80	187	13	248	663	87	71	94	26	55	45	3.569
2020-04-17	872	1.137	84	60	22	84	197	13	274	726	92	76	95	28	59	49	3.868
2020-04-18	919	1.198	91	62	24	90	212	14	281	791	99	86	103	29	61	50	4.110
2020-04-19	968	1.256	92	66	25	91	230	15	288	814	106	91	107	30	62	53	4.294
2020-04-20	982	1.286	94	66	25	91	240	15	291	857	107	91	109	30	67	53	4.404
2020-04-21	1.031	1.336	97	67	25	91	251	15	306	896	116	93	117	32	70	55	4.598
2020-04-22	1.063	1.424	105	74	26	91	265	15	328	964	122	97	122	33	79	71	4.879
2020-04-23	1.113	1.476	105	84	27	113	286	15	340	999	131	99	127	34	84	61	5.094
2020-04-24	1.153	1.525	112	90	27	122	296	16	364	1052	136	105	135	35	88	65	5.321
2020-04-25	1.189	1.566	113	97	27	139	305	16	377	1.084	138	107	141	35	95	71	5.500
2020-04-26	1.237	1.596	123	100	27	140	315	16	384	1.096	147	107	147	36	96	73	5.640
2020-04-27	1.249	1.621	125	100	27	142	320	16	391	1.131	152	121	147	36	98	74	5.750
2020-04-28	1.269	1.681	127	106	27	142	333	17	394	1.171	157	123	148	39	101	78	5.913
2020-04-29	1.299	1.754	137	109	29	153	346	17	406	1200	161	129	153	39	103	80	6.115
2020-04-30	1.353	1.799	147	113	29	155	353	17	416	1219	166	131	156	43	106	85	6.288
2020-05-01	1.385	1.850	149	120	30	163	360	18	429	1.261	172	135	162	44	110	93	6.481
2020-05-02	1.402	1.885	152	122	30	163	364	18	451	1.268	173	135	163	44	112	93	6.575
2020-05-03	1.412	1.910	154	122	30	164	370	18	453	1.287	176	138	165	44	113	93	6.649
2020-05-04	1.421	1.926	154	122	30	166	372	18	456	1.290	177	139	167	45	113	96	6.692
2020-05-05	1.452	1.949	154	123	31	172	381	19	463	1.332	182	139	171	46	118	99	6.831
2020-05-06	1.481	2.001	159	127	31	190	386	19	470	1.358	187	141	177	46	119	104	6.996
2020-05-07	1.497	2.050	162	129	32	194	396	19	478	1.372	189	143	181	48	120	109	7.119
2020-05-08	1.515	2.114	163	131	32	201	403	19	493	1.397	192	140	184	48	122	112	7.266
2020-05-09	1.534	2.147	164	133	32	204	408	19	496	1.424	195	142	186	48	122	115	7.369
2020-05-10	1.542	2.153	165	134	32	204	411	19	498	1.425	195	142	187	48	123	117	7.395
2020-05-11	1.545	2.155	165	134	34	204	412	19	498	1.437	195	142	187	48	124	118	7.417
2020-05-12	1.568	2.182	165	136	35	216	415	20	507	1.456	206	144	190	50	125	118	7.533
2020-05-13	1.594	2.209	170	137	36	223	419	20	508	1.473	207	144	191	52	125	126	7.634
2020-05-14	1.608	2.229	173	138	37	228	423	20	524	1.483	212	145	195	52	125	131	7.723
2020-05-15	1.628	2.260	177	148	37	228	429	20	534	1.493	213	147	195	54	126	135	7.824
2020-05-16	1.644	2.273	181	149	37	231	432	20	535	1.500	216	149	197	54	126	137	7.881
2020-05-17	1.648	2.283	182	149	37	232	435	20	544	1.505	216	149	196	54	126	138	7.914
2020-05-18	1.652	2.287	180	149	38	232	439	20	545	1.512	217	149	196	54	126	139	7.935
2020-05-19	1.653	2.314	182	150	38	232	442	20	548	1.525	222	154	198	54	128	147	8.007
2020-05-20	1.672	2.339	186	151	38	236	446	20	557	1.537	222	154	198	54	131	149	8.090
2020-05-21	1.680	2.348	186	151	39	239	451	20	566	1.546	224	157	201	54	134	151	8.147
2020-05-22	1.680	2.358	190	152	39	240	457	20	568	1.547	224	157	203	54	134	151	8.174
2020-05-23	1.692	2.367	190	154	41	240	458	20	571	1.555	226	157	204	54	136	151	8.216
2020-05-24	1.697	2.377	191	154	41	241	460	20	572	1.563	227	157	204	54	137	152	8.247
2020-05-25	1.698	2.382	191	154	41	241	460	20	572	1.565	228	157	205	54	137	152	8.257
2020-05-26	1.707	2.401	191	154	42	241	462	20	574	1.571	228	158	207	54	139	153	8.302
2020-05-27	1.724	2.404	193	154	42	242	466	20	578	1.577	229	160	208	55	140	157	8.349
2020-05-28	1.724	2.438	195	155	41	245	471	20	583	1.582	230	161	210	55	143	158	8.411
2020-05-29	1.743	2.441	196	155	41	246	476	20	585	1.588	230	162	209	55	144	159	8.450
2020-05-30	1.748	2.450	197	155	42	246	476	20	593	1.595	230	163	213	55	145	161	8.489
2020-05-31	1.748	2.450	198	155	42	252	477	20	593	1.597	230	163	213	55	145	162	8.500
2020-06-01	1.752	2.451	198	155	42	253	480	20	593	1.598	230	163	214	55	145	162	8.511
2020-06-02	1.758	2.456	198	155	42	253	480	20	594	1.599	230	163	211	55	145	163	8.522
2020-06-03	1.760	2.466	198	156	43	253	480	20	596	1.607	230	163	212	55	146	166	8.551
2020-06-04	1.761	2.479	200	156	44	253	482	20	601	1.611	230	164	212	55	146	167	8.581
2020-06-05	1.778	2.481	200	156	44	253	482	20	604	1.617	230	166	212	55	146	169	8.613
2020-06-06	1.790	2.489	201	158	44	254	483	20	605	1.622	230	166	212	55	147	170	8.646
2020-06-07	1.791	2.501	205	158	44	254	484	20	605	1.623	230	166	214	56	147	170	8.668
2020-06-08	1.791	2.505	205	160	44	254	484	20	605	1.623	230	166	214	56	147	170	8.674
2020-06-09	1.795	2.521	205	160	43	254	484	20	606	1.635	230	167	217	56	148	170	8.711
2020-06-10	1.798	2.531	206	160	43	254	485	20	607	1.636	231	167	217	56	148	170	8.729
2020-06-11	1.801	2.536	208	161	43	254	489	20	610	1.641	231	167	219	56	148	171	8.755
2020-06-12	1.802	2.538	208	161	45	254	489	20	610	1.643	231	168	219	56	148	171	8.763
2020-06-13	1.805	2.540	208	163	45	255	491	20	613	1.643	231	168	219	56	150	174	8.781
2020-06-14	1.805	2.541	208	163	46	255	491	20	614	1.645	231	168	218	57	151	174	8.787
2020-06-15	1.805	2.541	208	163	48	255	491	20	614	1.646	231	168	219	57	151	174	8.791
2020-06-16	1.808	2.540	208	163	48	255	495	20	614	1.648	231	168	220	57	151	174	8.800
2020-06-17	1.811	2.546	209	163	49	257	496	20	615	1.655	233	168	221	57	152	178	8.830
2020-06-18	1.816	2.556	210	163	49	259	498	20	618	1.658	234	168	221	57	152	177	8.856
2020-06-19	1.821	2.562	211	163	49	259	499	20	618	1.660	234	168	221	57	152	178	8.872
2020-06-20	1.824	2.566	211	163	49	259	500	20	618	1663	234	168	221	57	152	178	8.883
2020-06-21	1.824	2.565	211	163	49	259	500	20	618	1.663	234	168	221	57	152	178	8.882
2020-06-22	1.824	2.567	211	163	49	259	501	20	618	1.663	234	168	221	57	152	178	8.885
2020-06-23	1.826	2.571	211	164	49	259	501	20	619	1.665	234	168	221	57	152	178	8.895
2020-06-24	1.826	2.578	211	164	49	259	503	20	622	1.668	235	169	222	58	152	178	8.914
