BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,Datum
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2020-03-09
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2020-03-10
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2020-03-11
1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2020-03-12
1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2020-03-13
2,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2020-03-14
3,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2020-03-15
2,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2020-03-17
2,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2020-03-18
6,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2020-03-19
10,12,0,0,0,0,1,0,0,6,1,0,0,0,1,0,2020-03-20
16,19,1,0,0,0,2,0,0,6,1,0,0,0,1,0,2020-03-21
21,21,1,0,0,0,2,0,1,6,2,0,0,0,1,0,2020-03-22
21,26,1,0,0,0,3,0,4,28,2,0,0,0,1,0,2020-03-23
30,30,1,0,0,0,4,0,6,33,5,1,1,,2,1,2020-03-24
37,37,2,1,0,0,4,0,7,43,5,2,6,1,3,1,2020-03-25
56,47,4,1,1,0,6,0,8,53,6,2,7,1,3,3,2020-03-26
70,55,8,1,1,2,7,0,10,72,8,2,7,2,4,4,2020-03-27
101,77,8,1,2,2,9,0,12,80,11,2,9,2,4,5,2020-03-28
101,107,9,1,2,4,9,1,21,98,12,2,9,2,6,5,2020-03-29
119,127,11,2,2,5,13,1,26,101,18,7,9,2,7,5,2020-03-30
165,162,13,2,4,9,17,1,34,117,19,7,12,6,9,6,2020-03-31
197,225,16,4,5,14,21,3,42,134,23,8,17,7,10,6,2020-04-01
241,268,19,7,6,14,27,3,45,161,26,11,18,8,11,7,2020-04-02
285,307,20,9,6,16,33,4,65,178,26,12,21,11,15,9,2020-04-03
316,349,22,12,6,16,42,5,85,200,29,14,24,11,17,10,2020-04-04
367,396,24,17,6,19,56,5,89,245,32,14,32,12,18,10,2020-04-05
387,437,26,19,8,19,61,6,92,255,32,14,34,12,20,12,2020-04-06
433,481,28,20,9,20,73,8,111,282,34,16,38,12,24,18,2020-04-07
464,564,32,22,10,23,84,11,121,348,45,23,50,16,28,20,2020-04-08
519,635,37,30,11,44,100,11,141,384,50,23,52,16,34,20,2020-04-09
570,703,42,37,13,53,111,11,161,446,51,36,59,18,38,24,2020-04-10
622,747,46,37,15,56,120,11,171,472,59,41,65,18,39,25,2020-04-11
649,786,50,38,15,56,123,11,189,495,64,43,67,21,41,25,2020-04-12
677,820,51,38,17,56,135,11,201,518,68,44,68,24,44,27,2020-04-13
711,872,56,40,20,59,147,11,211,545,70,52,70,25,49,31,2020-04-14
767,954,62,42,21,67,173,11,224,607,77,58,73,26,54,38,2020-04-15
802,1049,74,54,21,80,187,13,248,663,87,71,94,26,55,45,2020-04-16
872,1137,84,60,22,84,197,13,274,726,92,76,95,28,59,49,2020-04-17
919,1198,91,62,24,90,212,14,281,791,99,86,103,29,61,50,2020-04-18
968,1256,92,66,25,91,230,15,288,814,106,91,107,30,62,53,2020-04-19
982,1286,94,66,25,91,240,15,291,857,107,91,109,30,67,53,2020-04-20
1031,1336,97,67,25,91,251,15,306,896,116,93,117,32,70,55,2020-04-21
1063,1424,105,74,26,91,265,15,328,964,122,97,122,33,79,71,2020-04-22
1113,1476,105,84,27,113,286,15,340,999,131,99,127,34,84,61,2020-04-23
1153,1525,112,90,27,122,296,16,364,1052,136,105,135,35,88,65,2020-04-24
1189,1566,113,97,27,139,305,16,377,1084,138,107,141,35,95,71,2020-04-25
1237,1596,123,100,27,140,315,16,384,1096,147,107,147,36,96,73,2020-04-26
1249,1621,125,100,27,142,320,16,391,1131,152,121,147,36,98,74,2020-04-27
1269,1681,127,106,27,142,333,17,394,1171,157,123,148,39,101,78,2020-04-28
1299,1754,137,109,29,153,346,17,406,1200,161,129,153,39,103,80,2020-04-29
1353,1799,147,113,29,155,353,17,416,1219,166,131,156,43,106,85,2020-04-30
1385,1850,149,120,30,163,360,18,429,1261,172,135,162,44,110,93,2020-05-01
1402,1885,152,122,30,163,364,18,451,1268,173,135,163,44,112,93,2020-05-02
1412,1910,154,122,30,164,370,18,453,1287,176,138,165,44,113,93,2020-05-03
1421,1926,154,122,30,166,372,18,456,1290,177,139,167,45,113,96,2020-05-04
1452,1949,154,123,31,172,381,19,463,1332,182,139,171,46,118,99,2020-05-05
1481,2001,159,127,31,190,386,19,470,1358,187,141,177,46,119,104,2020-05-06
1497,2050,162,129,32,194,396,19,478,1372,189,143,181,48,120,109,2020-05-07
1515,2114,163,131,32,201,403,19,493,1397,192,140,184,48,122,112,2020-05-08
1534,2147,164,133,32,204,408,19,496,1424,195,142,186,48,122,115,2020-05-09
1542,2153,165,134,32,204,411,19,498,1425,195,142,187,48,123,117,2020-05-10
1545,2155,165,134,34,204,412,19,498,1437,195,142,187,48,124,118,2020-05-11
1568,2182,165,136,35,216,415,20,507,1456,206,144,190,50,125,118,2020-05-12
1594,2209,170,137,36,223,419,20,508,1473,207,144,191,52,125,126,2020-05-13
1608,2229,173,138,37,228,423,20,524,1483,212,145,195,52,125,131,2020-05-14
1628,2260,177,148,37,228,429,20,534,1493,213,147,195,54,126,135,2020-05-15
1644,2273,181,149,37,231,432,20,535,1500,216,149,197,54,126,137,2020-05-16
1648,2283,182,149,37,232,435,20,544,1505,216,149,196,54,126,138,2020-05-17
1652,2287,180,149,38,232,439,20,545,1512,217,149,196,54,126,139,2020-05-18
1653,2314,182,150,38,232,442,20,548,1525,222,154,198,54,128,147,2020-05-19
1672,2339,186,151,38,236,446,20,557,1537,222,154,198,54,131,149,2020-05-20
1680,2348,186,151,39,239,451,20,566,1546,224,157,201,54,134,151,2020-05-21
1680,2358,190,152,39,240,457,20,568,1547,224,157,203,54,134,151,2020-05-22
1692,2367,190,154,41,240,458,20,571,1555,226,157,204,54,136,151,2020-05-23
1697,2377,191,154,41,241,460,20,572,1563,227,157,204,54,137,152,2020-05-24
1698,2382,191,154,41,241,460,20,572,1565,228,157,205,54,137,152,2020-05-25
1707,2401,191,154,42,241,462,20,574,1571,228,158,207,54,139,153,2020-05-26
1724,2404,193,154,42,242,466,20,578,1577,229,160,208,55,140,157,2020-05-27
1724,2438,195,155,41,245,471,20,583,1582,230,161,210,55,143,158,2020-05-28
1743,2441,196,155,41,246,476,20,585,1588,230,162,209,55,144,159,2020-05-29
1748,2450,197,155,42,246,476,20,593,1595,230,163,213,55,145,161,2020-05-30
1748,2450,198,155,42,252,477,20,593,1597,230,163,213,55,145,162,2020-05-31
1752,2451,198,155,42,253,480,20,593,1598,230,163,214,55,145,162,2020-06-01
1758,2456,198,155,42,253,480,20,594,1599,230,163,211,55,145,163,2020-06-02
1760,2466,198,156,43,253,480,20,596,1607,230,163,212,55,146,166,2020-06-03
1761,2479,200,156,44,253,482,20,601,1611,230,164,212,55,146,167,2020-06-04
1778,2481,200,156,44,253,482,20,604,1617,230,166,212,55,146,169,2020-06-05
1790,2489,201,158,44,254,483,20,605,1622,230,166,212,55,147,170,2020-06-06
1791,2501,205,158,44,254,484,20,605,1623,230,166,214,56,147,170,2020-06-07
1791,2505,205,160,44,254,484,20,605,1623,230,166,214,56,147,170,2020-06-08
1795,2521,205,160,43,254,484,20,606,1635,230,167,217,56,148,170,2020-06-09
1798,2531,206,160,43,254,485,20,607,1636,231,167,217,56,148,170,2020-06-10
1801,2536,208,161,43,254,489,20,610,1641,231,167,219,56,148,171,2020-06-11
1802,2538,208,161,45,254,489,20,610,1643,231,168,219,56,148,171,2020-06-12
1805,2540,208,163,45,255,491,20,613,1643,231,168,219,56,150,174,2020-06-13
1805,2541,208,163,46,255,491,20,614,1645,231,168,218,57,151,174,2020-06-14
1805,2541,208,163,48,255,491,20,614,1646,231,168,219,57,151,174,2020-06-15
1808,2540,208,163,48,255,495,20,614,1648,231,168,220,57,151,174,2020-06-16
1811,2546,209,163,49,257,496,20,615,1655,233,168,221,57,152,178,2020-06-17
1816,2556,210,163,49,259,498,20,618,1658,234,168,221,57,152,177,2020-06-18
1821,2562,211,163,49,259,499,20,618,1660,234,168,221,57,152,178,2020-06-19
1824,2566,211,163,49,259,500,20,618,1663,234,168,221,57,152,178,2020-06-20
1824,2565,211,163,49,259,500,20,618,1663,234,168,221,57,152,178,2020-06-21
1824,2567,211,163,49,259,501,20,618,1663,234,168,221,57,152,178,2020-06-22
1826,2571,211,164,49,259,501,20,619,1665,234,168,221,57,152,178,2020-06-23
1826,2578,211,164,49,259,503,20,622,1668,235,169,222,58,152,178,2020-06-24
1827,2583,212,165,49,259,505,20,623,1669,235,169,223,58,152,178,2020-06-25
1830,2594,212,165,49,259,505,20,625,1673,235,171,222,58,152,178,2020-06-26
1829,2591,213,165,50,259,506,20,627,1674,235,172,222,58,152,181,2020-06-27
1829,2592,213,165,50,259,506,20,628,1674,235,173,222,58,152,181,2020-06-28
1829,2592,213,165,50,259,506,20,628,1678,235,173,222,58,152,181,2020-06-29
1830,2594,214,165,53,259,508,20,628,1680,235,173,223,58,152,181,2020-06-30
1838,2594,214,165,53,259,507,20,629,1683,235,173,223,59,152,181,2020-07-01
1838,2597,214,165,53,260,507,20,632,1684,235,173,224,59,152,181,2020-07-02
1839,2598,214,166,53,260,509,20,633,1686,235,174,224,59,152,181,2020-07-03
1837,2600,214,167,53,260,511,20,635,1688,235,174,224,59,152,181,2020-07-04
1837,2600,215,167,53,261,512,20,635,1687,235,174,224,59,152,181,2020-07-05
1837,2600,215,168,54,261,512,20,635,1689,235,174,224,59,152,181,2020-07-06
1837,2606,215,168,54,261,512,20,637,1689,235,174,224,59,152,181,2020-07-07
1837,2607,215,168,54,261,512,20,639,1696,235,174,224,59,153,182,2020-07-08
1838,2609,216,168,54,261,514,20,640,1698,236,174,225,60,153,182,2020-07-09
1837,2610,216,168,54,261,514,20,641,1701,236,174,225,61,154,182,2020-07-10
1837,2612,216,168,55,261,514,20,641,1704,236,174,225,61,154,182,2020-07-11
1837,2612,217,168,55,261,514,20,642,1704,236,174,225,62,154,182,2020-07-12
1837,2612,217,168,55,261,514,20,642,1705,236,174,225,62,154,182,2020-07-13
1837,2613,219,167,55,261,514,20,642,1707,236,174,225,62,154,182,2020-07-14
1838,2613,220,167,55,261,514,20,642,1708,236,174,225,62,154,182,2020-07-15
1838,2613,221,167,55,261,514,20,643,1711,238,174,225,62,154,182,2020-07-16
1839,2616,221,167,55,260,514,20,644,1711,238,174,225,62,154,182,2020-07-17
1838,2616,221,167,55,261,514,20,644,1712,238,174,225,62,154,182,2020-07-18
1838,2616,221,167,55,261,514,20,645,1712,238,174,225,62,154,182,2020-07-19
1838,2616,221,167,55,261,514,20,645,1713,238,174,225,62,155,182,2020-07-20
1838,2617,221,167,55,261,515,20,646,1714,238,174,225,62,155,182,2020-07-21
1838,2617,222,167,55,261,515,20,647,1717,238,174,225,62,155,182,2020-07-22
1838,2618,222,167,55,261,516,20,647,1721,238,174,225,62,155,182,2020-07-23
1839,2619,222,168,55,261,517,20,647,1726,238,174,225,63,155,182,2020-07-24
1841,2619,223,168,55,261,518,20,648,1728,238,174,225,63,155,182,2020-07-25
1841,2619,223,168,55,261,518,20,648,1728,238,174,225,63,155,182,2020-07-26
1841,2619,223,168,55,261,518,20,648,1728,238,174,225,63,155,182,2020-07-27
1841,2619,223,168,55,261,518,20,648,1730,238,174,225,64,156,182,2020-07-28
1843,2621,223,168,55,261,518,20,649,1730,239,174,225,64,156,182,2020-07-29
1845,2622,223,168,55,261,519,20,649,1732,239,174,225,64,156,182,2020-07-30
1847,2622,223,168,56,261,520,20,651,1733,239,174,225,64,156,182,2020-07-31
1847,2622,223,168,56,261,520,20,652,1739,239,174,225,64,156,182,2020-08-01
1847,2622,223,168,56,261,520,20,653,1731,239,174,225,64,156,182,2020-08-02
1847,2622,223,168,56,261,520,20,653,1738,239,174,225,64,156,182,2020-08-03
1847,2623,223,168,56,261,521,20,653,1744,239,174,225,64,156,182,2020-08-04
1847,2624,223,168,56,261,523,20,654,1751,239,174,225,64,157,182,2020-08-05
1851,2624,224,168,56,261,523,20,654,1752,239,174,225,64,158,182,2020-08-06
1852,2626,224,168,56,262,524,20,654,1755,239,174,225,64,158,182,2020-08-07
1858,2626,224,169,56,262,524,20,654,1759,239,174,225,64,158,183,2020-08-08
1858,2626,224,169,56,262,525,20,654,1759,239,174,225,64,158,183,2020-08-09
1858,2627,224,169,56,262,525,20,654,1759,239,174,225,64,158,183,2020-08-10
1858,2627,224,169,56,262,525,20,654,1763,239,174,225,64,158,183,2020-08-11
1859,2627,224,169,56,262,526,20,655,1765,239,174,225,64,158,184,2020-08-12
1859,2627,224,169,56,262,526,20,655,1767,240,174,225,64,158,185,2020-08-13
1859,2631,224,169,56,264,526,20,656,1772,241,174,225,64,158,186,2020-08-14
1859,2631,224,169,56,264,526,20,656,1777,242,174,225,64,158,186,2020-08-15
1859,2631,224,169,56,264,526,20,656,1777,242,174,225,64,158,186,2020-08-16
1859,2631,224,169,56,264,526,20,656,1778,242,174,225,64,158,186,2020-08-17
1859,2631,224,169,56,264,528,20,656,1780,242,174,225,64,158,186,2020-08-18
1860,2631,224,169,56,264,528,20,656,1783,242,174,226,64,160,186,2020-08-19
1860,2631,224,169,56,264,528,20,658,1790,242,174,226,65,160,186,2020-08-20
1863,2632,226,169,56,265,528,20,659,1790,242,174,225,65,160,186,2020-08-21
1862,2633,226,169,56,265,528,20,659,1797,242,174,225,65,160,186,2020-08-22
1863,2633,226,169,56,265,528,20,659,1798,242,174,225,65,160,186,2020-08-23
1863,2634,226,169,56,265,528,20,660,1798,243,174,225,65,160,186,2020-08-24
1863,2634,226,169,56,265,528,20,661,1802,243,174,225,65,160,186,2020-08-25
1862,2635,226,169,56,265,528,20,662,1804,243,174,225,65,160,186,2020-08-26
1863,2635,226,169,56,266,529,20,661,1807,243,174,225,65,160,186,2020-08-27
1864,2636,226,169,56,266,530,20,660,1808,243,174,225,65,160,186,2020-08-28
1862,2638,226,169,56,266,530,20,660,1809,243,174,225,65,160,186,2020-08-29
1866,2638,226,169,56,266,531,20,661,1809,243,174,225,65,160,186,2020-08-30
1866,2639,226,169,56,266,531,20,661,1811,243,174,225,65,160,186,2020-08-31
1866,2640,226,169,56,266,532,20,661,1812,243,174,226,65,160,186,2020-09-01
1867,2641,226,169,57,267,534,20,662,1817,243,174,225,65,160,186,2020-09-02
1868,2641,226,169,58,267,534,20,665,1819,243,174,225,65,161,186,2020-09-03
1865,2641,226,169,58,267,535,20,665,1818,243,174,225,66,161,186,2020-09-04
1865,2641,226,169,58,267,535,20,665,1823,243,174,225,66,161,186,2020-09-05
1865,2642,226,169,58,267,535,20,665,1823,243,174,225,66,161,186,2020-09-06
1865,2642,226,169,58,267,535,20,665,1823,243,174,225,66,161,186,2020-09-07
1867,2643,226,169,58,267,535,20,665,1823,243,174,225,66,161,187,2020-09-08
1867,2644,226,169,58,267,536,20,665,1826,245,175,225,66,161,188,2020-09-09
1868,2644,226,169,58,267,537,20,665,1827,245,175,225,66,161,188,2020-09-10
1868,2644,226,169,58,267,537,20,665,1828,245,175,225,66,161,188,2020-09-11
1867,2645,226,169,58,267,538,20,667,1828,246,175,226,66,161,188,2020-09-12
1867,2645,226,169,58,268,539,20,667,1828,246,175,226,66,161,188,2020-09-13
1867,2645,226,169,58,268,539,20,667,1829,246,175,226,66,161,188,2020-09-14
1868,2647,226,169,59,268,540,20,667,1834,247,175,226,66,161,189,2020-09-15
1868,2647,227,169,59,268,542,20,667,1837,247,175,226,66,161,189,2020-09-16
1868,2647,227,169,59,268,542,20,667,1839,247,176,226,66,161,189,2020-09-17
1869,2648,227,169,59,269,543,20,667,1842,247,176,226,66,161,189,2020-09-18
1871,2648,227,169,59,269,543,20,669,1844,247,176,226,66,161,189,2020-09-19
1871,2648,227,169,59,269,544,20,669,1845,247,176,226,66,161,189,2020-09-20
1871,2648,227,169,59,269,544,20,669,1845,247,176,226,66,161,189,2020-09-21
1871,2651,227,169,59,269,545,20,670,1848,248,176,227,66,161,189,2020-09-22
1874,2653,228,169,59,269,545,20,670,1854,248,176,227,67,161,189,2020-09-23
1875,2654,228,169,59,269,546,20,678,1859,248,176,229,67,161,190,2020-09-24
1876,2657,228,169,59,269,548,20,681,1861,251,176,230,67,161,190,2020-09-25
1877,2657,228,169,59,269,549,20,683,1863,251,176,233,67,161,190,2020-09-26
1877,2659,228,169,59,269,550,20,683,1864,252,176,233,67,161,190,2020-09-27
1880,2659,228,169,59,269,550,20,683,1865,251,176,233,67,161,190,2020-09-28
1880,2664,228,169,59,269,551,20,682,1867,253,177,233,68,161,190,2020-09-29
1885,2664,228,169,59,270,551,20,684,1872,254,177,234,68,162,191,2020-09-30
1886,2663,228,169,59,271,551,20,685,1880,255,177,235,68,162,191,2020-10-01
1887,2664,229,169,59,271,551,20,689,1879,255,177,237,68,162,191,2020-10-02
1888,2672,231,169,59,271,552,20,690,1882,256,177,239,68,162,191,2020-10-03
1888,2671,231,169,59,272,552,20,690,1884,256,177,239,68,162,191,2020-10-04
1890,2672,231,169,59,273,553,20,690,1884,256,177,239,68,162,191,2020-10-05
1894,2674,231,169,59,273,556,20,691,1886,256,177,239,68,162,191,2020-10-06
1894,2680,231,169,59,274,556,20,691,1891,256,177,243,68,162,191,2020-10-07
1898,2681,232,169,60,276,557,20,694,1894,256,177,243,68,162,191,2020-10-08
1898,2684,233,169,60,276,557,20,695,1900,256,177,243,68,162,191,2020-10-09
1899,2684,234,169,60,277,559,20,697,1905,256,177,246,68,162,191,2020-10-10
1901,2685,234,169,60,277,560,20,697,1911,256,177,247,68,162,191,2020-10-11
1901,2685,234,169,61,277,562,20,697,1913,256,177,248,68,162,191,2020-10-12
1903,2689,234,169,61,277,562,20,696,1917,257,177,248,68,162,194,2020-10-13
1909,2693,237,172,62,278,567,20,702,1923,260,177,250,68,163,196,2020-10-14
