Datum,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH, Deutschland,Datum
2020-05-06,8,10,7,5,17,5,7,1,5,8,5,9,4,2,5,9,7,2020-05-06
2020-05-07,7,10,7,5,18,5,7,1,4,8,4,9,4,2,5,8,7,2020-05-07
2020-05-08,6,9,7,5,20,5,7,1,4,8,4,6,4,2,5,8,6,2020-05-08
2020-05-09,6,9,7,5,23,5,7,1,5,8,4,6,4,3,6,9,7,2020-05-09
2020-05-10,7,9,7,5,25,4,7,1,5,8,4,5,4,3,7,9,7,2020-05-10
2020-05-11,7,9,7,5,24,5,7,2,5,8,4,5,4,3,6,10,7,2020-05-11
2020-05-12,7,9,5,4,22,5,7,1,5,9,5,4,5,3,5,9,7,2020-05-12
2020-05-13,7,9,5,3,23,4,6,1,4,8,4,4,4,2,4,9,6,2020-05-13
2020-05-14,7,9,4,2,20,3,6,1,4,8,4,3,4,2,4,8,6,2020-05-14
2020-05-15,7,8,4,2,19,3,6,1,4,7,4,3,4,2,3,7,6,2020-05-15
2020-05-16,6,8,5,2,18,2,5,1,3,7,4,3,4,2,3,7,5,2020-05-16
2020-05-17,5,8,5,2,18,2,5,1,3,7,3,3,4,1,2,6,5,2020-05-17
2020-05-18,5,8,5,2,17,3,5,1,3,7,4,3,4,1,2,7,5,2020-05-18
2020-05-19,4,7,5,2,19,2,5,1,3,6,4,3,3,1,1,6,5,2020-05-19
2020-05-20,4,6,5,2,19,2,6,1,3,7,4,3,3,1,1,5,5,2020-05-20
2020-05-21,4,6,5,2,18,2,6,1,3,6,4,3,3,1,1,6,5,2020-05-21
2020-05-22,3,5,4,1,17,2,7,1,3,6,3,2,3,1,2,6,4,2020-05-22
2020-05-23,3,5,5,1,14,1,6,1,4,5,3,2,3,1,2,5,4,2020-05-23
2020-05-24,3,5,5,1,12,1,7,1,5,5,3,2,2,1,2,6,4,2020-05-24
2020-05-25,3,5,5,1,12,1,6,1,5,5,2,2,2,1,2,6,4,2020-05-25
2020-05-26,3,6,4,1,11,1,5,1,5,4,2,2,2,1,2,6,4,2020-05-26
2020-05-27,3,5,3,1,10,1,5,1,4,4,2,2,2,1,2,5,3,2020-05-27
2020-05-28,2,5,3,1,11,1,4,0,4,4,2,2,1,0,2,6,3,2020-05-28
2020-05-29,3,5,4,1,12,1,5,0,4,4,2,2,2,0,1,6,4,2020-05-29
2020-05-30,3,5,3,1,15,0,5,0,5,4,3,2,2,0,1,6,4,2020-05-30
2020-05-31,2,5,4,1,15,0,4,0,5,4,2,2,2,0,1,6,3,2020-05-31
2020-06-01,3,5,4,1,13,0,4,0,5,4,3,2,2,1,1,7,4,2020-06-01
2020-06-02,2,4,5,1,18,1,4,0,5,4,2,2,1,0,1,6,3,2020-06-02
2020-06-03,2,3,5,1,18,1,3,0,5,3,2,2,1,0,1,4,3,2020-06-03
2020-06-04,1,3,4,1,17,1,3,0,4,3,1,2,1,0,1,4,3,2020-06-04
2020-06-05,1,3,5,1,18,1,3,0,4,3,1,2,1,0,1,3,3,2020-06-05
